data,fold,depth,weight_seed,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse_sum,mse,mse gap sum,mse gap,training_duration,use_brute_force,use_hashmaps,use_initial_solution
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,0,5,10,sklearn,sklearn,sklearn,0.8782735344483343,0.5764013765212666,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,0,5,10,mean,optimal,mse,0.8800568407382521,0.6421966364537676,0.002030467980613671,0.11414833935614911,0.4420607089996338,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,0,5,10,optimal,optimal,mse,0.9519198426471819,0.6695689175901129,0.08385349815317689,0.16163656934883974,13.200681686401367,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,0,5,10,sklearn,sklearn,sklearn,0.6614024938298749,0.5168557561799163,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,0,5,10,mean,optimal,mse,0.6637528147355399,0.5708660931760586,0.003553541039821889,0.1044978920140757,0.39620327949523926,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,0,5,10,optimal,optimal,mse,0.7273073058352465,0.609406968311662,0.09964403312685954,0.17906584385514476,13.088666915893555,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,0,5,10,sklearn,sklearn,sklearn,1.1445654197391457,0.643227875018966,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,0,5,10,mean,optimal,mse,1.096128450946565,0.6913484363690501,-0.04231909155845357,0.07481106341771204,0.39064788818359375,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,0,5,10,optimal,optimal,mse,0.7370993713896178,0.5918021439532104,-0.3560006630659803,-0.07994947523727781,13.126830101013184,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,0,5,10,sklearn,sklearn,sklearn,0.9040600135384309,0.630604656502489,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,0,5,10,mean,optimal,mse,0.895098026099274,0.6585272534155528,-0.009913044825509159,0.04427908456612175,0.37349390983581543,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,0,5,10,optimal,optimal,mse,0.7200411676554117,0.6455946838143118,-0.20354715740914328,0.023770879515799606,12.942653894424438,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,0,5,10,sklearn,sklearn,sklearn,0.820796609408596,0.49093461731573473,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,0,5,10,mean,optimal,mse,0.8111840029837711,0.4948960514948822,-0.011711313514990008,0.008069168560178643,0.3970060348510742,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,0,5,10,optimal,optimal,mse,0.8159823181005181,0.5773920206922442,-0.005865388883059205,0.17610777551037124,13.107887983322144,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,1,5,10,sklearn,sklearn,sklearn,0.17116147485172795,0.5764013765212666,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,1,5,10,mean,optimal,mse,0.1716969086437995,0.6143908634976505,0.0031282377797654482,0.06590804346384536,0.39519643783569336,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,1,5,10,optimal,optimal,mse,0.1446677742291028,0.6104087292383953,-0.15478775609742704,0.05899943008875521,13.032180547714233,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,1,5,10,sklearn,sklearn,sklearn,0.14298159222679938,0.5168557561799163,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,1,5,10,mean,optimal,mse,0.14364980882194253,0.5594608157214072,0.0046734449150854455,0.0824312374043874,0.4069375991821289,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,1,5,10,optimal,optimal,mse,0.12879424449193244,0.5560108114304367,-0.09922499472773227,0.07575625265338178,13.024230718612671,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,1,5,10,sklearn,sklearn,sklearn,0.23732364663305067,0.643227875018966,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,1,5,10,mean,optimal,mse,0.2275676588258257,0.6816170989840193,-0.04110836802667904,0.0596821522449122,0.3940725326538086,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,2,5,1,5,10,optimal,optimal,mse,0.14317611431993982,0.5644168530640659,-0.3967052320693587,-0.12252426397499704,13.132534503936768,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,1,5,10,sklearn,sklearn,sklearn,0.1801194354467774,0.630604656502489,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,1,5,10,mean,optimal,mse,0.1792385877262815,0.6450904053401818,-0.004890353549637638,0.022971204998762405,0.39206695556640625,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,3,5,1,5,10,optimal,optimal,mse,0.17994753973584834,0.6441335106216871,-0.0009543429364114109,0.021453780874744827,13.362900495529175,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,1,5,10,sklearn,sklearn,sklearn,0.17124700935751658,0.49093461731573473,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,1,5,10,mean,optimal,mse,0.16916603020703666,0.4719255632796734,-0.012151915284753416,-0.03872013373185304,0.4692542552947998,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,4,5,1,5,10,optimal,optimal,mse,0.17665202684876924,0.5530412230170795,0.03156269713282101,0.1265068779238318,12.993670463562012,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,2,5,10,sklearn,sklearn,sklearn,0.47911232345098476,0.5764013765212666,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,2,5,10,mean,optimal,mse,0.4787938102522657,0.5875901883158511,-0.0006647985934172006,0.019411493883154725,0.40686988830566406,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,0,5,2,5,10,optimal,optimal,mse,0.49665740449093265,0.6153798327589615,0.03661997444267959,0.067623808383214,13.124633073806763,True,True,False
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,2,5,10,sklearn,sklearn,sklearn,0.3868292990857581,0.5168557561799163,0.0,0.0,0.0,,,
synthetic_illustrative_df_size_500_targets_5_seed_0,1,5,2,5,10,mean,optimal,mse,0.3887912083527861,0.5296288012254999,0.005071770084801796,0.024712978220440603,0.38677430152893066,True,True,False
