X1,X2,X3,X4,X5,X6,X7,X8,X9,y1,y2,y3,y4,y5
0.8,0.8,0.6,0.2,0.8,0.7,0.2,0.1,0.5,1.5527006160182113,-0.5466586495631077,-0.6015169276086889,3.89603926821027,3.847183796957667
1.0,0.4,0.4,0.5,0.7,0.3,0.6,0.4,1.0,-2.0870810992621953,3.0208089883803844,2.9436843236909187,0.6325115417581917,0.519483241768241
0.3,0.7,0.6,1.0,0.1,1.0,0.3,0.5,0.8,0.4226733790214946,0.36628650463028034,0.5177658014465081,0.9621734188016778,0.8000061171041364
0.4,0.6,0.3,0.9,0.2,0.0,0.4,0.2,0.4,-1.6782970346371986,2.624697557590666,2.434359283394752,0.20121067184161004,0.033371240589967086
1.0,0.1,0.7,0.8,0.2,1.0,0.9,0.8,0.7,-2.2184202729072493,3.2809591996876555,3.1902790742596125,3.6193921947578724,3.313341344971132
0.1,0.6,0.8,1.0,0.5,0.9,0.9,0.9,1.0,-1.3313800505217577,2.410346872843446,2.0692292295312655,2.769974551240495,2.579835263913696
0.3,0.0,0.0,1.0,0.2,0.8,1.0,0.8,0.2,-1.1211890445486816,2.3502200108520515,2.1066291647185653,-0.4892279659579701,-0.7955509381071925
0.9,0.6,0.5,0.6,0.6,0.6,0.3,0.8,0.2,-1.5120812076979169,2.4163142583557025,2.4240245680489028,2.245737095125706,2.0283959889226484
0.1,0.4,0.8,0.1,0.6,0.9,0.5,0.1,0.2,1.438394903476349,-0.3196397188415418,-0.3790034077847544,3.696502544559788,3.408581507486801
0.4,1.0,0.7,0.6,0.4,0.5,1.0,0.8,1.0,-1.509162885996413,2.480147636417673,2.2766555059459024,2.040060059705006,1.9850881547646035
0.3,0.0,0.0,0.5,0.7,0.5,0.0,0.8,0.6,0.12814904302974017,1.009089975646385,0.9231866169269526,2.912858491805658,2.5746333054246704
1.0,0.5,0.1,1.0,0.7,0.4,0.3,0.6,0.1,-2.7003448383574034,3.5643346416252037,3.526832633612322,-0.33696619587458154,-0.2888884228192225
0.4,1.0,0.0,0.8,1.0,0.5,0.4,0.2,0.9,0.2959548475502771,0.6759682668731695,0.6519315165806859,2.3311853557939854,2.066692280584372
0.7,0.1,0.9,0.2,0.1,0.0,0.7,0.1,0.8,-1.70059245214162,2.8704578664750255,2.509612414679795,4.696719260799593,4.4378329107747225
0.9,0.0,0.7,0.0,0.5,1.0,0.2,0.5,1.0,-0.8522481515845417,1.7727772948098701,1.5551950055632981,2.9251957563310835,2.9021694008038676
0.1,0.3,0.3,0.1,0.8,0.6,0.8,0.1,0.5,0.05308516238955785,0.777429619466881,0.7158913818150017,3.433828370615366,3.1870587755626856
0.7,0.0,0.9,1.0,0.1,0.5,0.9,0.2,0.0,-2.502726947499011,3.5130995347482568,3.7284908441163784,2.5182615689644376,2.211764902796339
