X1,X2,X3,X4,X5,X6,X7,X8,X9,y1,y2,y3,y4,y5
0.5,0.8,0.9,0.5,0.0,0.0,0.1,0.7,0.6,0.7369388227251082,0.3946205664768869,-0.04608525845174091,2.734912161964129,2.6541153630736045
0.9,0.2,0.4,0.5,0.2,0.4,1.0,0.2,0.4,1.703990228940509,-0.8585507247076348,-0.9971732877978853,3.3234721221080825,3.032832829421404
0.7,0.7,0.9,0.1,0.7,0.0,0.6,0.9,0.9,0.8254230479754603,0.16743511083799967,0.13613242043733073,4.148558141257312,3.9160154757808225
0.7,0.6,0.9,0.1,0.0,0.1,0.8,0.8,0.3,0.6596243200739976,0.27357489565917464,0.07652797467840888,3.972479242556647,3.8509569921342233
1.0,0.9,0.8,0.7,0.3,0.6,0.5,0.1,0.9,0.19519936169811014,0.7657095910868972,0.5587271720687706,2.394899859208538,2.5536884195713747
0.3,0.4,0.8,0.1,1.0,0.4,0.0,0.3,0.9,0.5380127717381469,0.46122153644463165,0.5237276074576457,1.85703653632521,1.6530550838796207
0.2,0.0,0.4,0.9,0.2,0.7,0.7,1.0,0.9,0.8728013572092204,0.25359113023892543,0.04855836113503084,1.114531266380955,0.9062408035082528
0.8,0.6,0.9,0.3,0.7,0.7,0.4,0.5,0.9,-0.20044856180157716,1.4447685101773327,1.3549456430375935,3.91909098873779,3.7280791412895695
0.3,0.6,0.8,0.0,0.2,1.0,0.7,0.7,0.9,-0.5688750452041524,1.6461051021871593,1.6821917501247512,2.231494356037703,2.043415816492535
0.7,0.3,1.0,0.0,0.8,0.7,0.7,0.1,0.1,0.5903707909689474,0.36371536600222065,0.3712376465357956,4.149939142373784,3.952616781028501
0.3,0.0,0.8,0.6,0.4,0.5,0.6,0.2,0.5,0.7281094324183277,0.31849185818857495,0.014837945575793383,1.1026810545875922,1.049092095187364
0.7,0.8,0.4,0.4,0.7,0.7,0.4,0.9,0.0,-0.6745089190405513,1.6340134499134404,1.4905983500670699,3.953889110926153,3.600929679598802
0.2,0.0,1.0,0.7,0.1,0.7,0.9,0.8,1.0,0.20625476445048657,0.7828056955404175,0.7704938671380328,2.048555308394116,2.0962283598842277
0.4,0.0,0.1,0.9,0.8,0.2,0.3,0.1,0.2,1.369365674657064,-0.4109725824898709,-0.687066574495492,1.7418126151577673,1.4998692496269568
0.7,0.2,1.0,0.6,0.0,0.9,0.2,0.6,0.6,-0.1681881500461303,1.181946500855893,1.3701043046030263,2.812734472154126,2.7409234200774804
0.2,0.7,0.7,0.0,0.6,0.5,0.1,1.0,0.4,-0.8212484263731136,1.82454658703371,1.6030908918693694,2.299171361805076,2.018282794009629
0.6,0.0,0.6,0.5,0.1,0.2,0.1,0.5,0.4,0.10943295377222123,1.0053270878625544,0.7835541417905981,2.2683387660566714,2.1342775307112705
1.0,0.0,0.7,0.8,0.9,0.5,0.7,0.0,0.9,0.33941853302095504,0.6495396895295407,0.3851117617995222,3.322065835293629,3.066513811666838
0.3,0.9,0.1,0.4,0.4,0.6,0.8,0.8,0.9,-0.17482447408024085,1.2097437688560537,1.144386882300552,1.981288969070361,1.5903191117344442
0.2,0.7,0.5,0.5,0.4,0.5,0.8,0.5,0.8,0.1452777362663154,0.7017709448622771,0.5214813416044702,1.9003390869728507,1.9996185143621175
0.1,0.1,0.8,0.7,0.0,1.0,0.3,0.4,0.2,-1.7366575287889199,2.458816874602247,2.3689215392894476,1.8999507762268564,1.7251714831914973
0.0,0.3,0.5,0.1,0.2,0.4,0.3,0.0,0.6,0.8853024061662781,0.06115060991283719,0.1240258611400763,1.7949727125839707,1.7528444717855884
0.0,0.7,0.2,1.0,0.8,0.3,0.0,0.8,0.4,0.7086425739783121,0.26625914166903686,0.1501998063071348,1.3488846860384083,1.0005817923039682
0.2,0.9,0.0,0.3,0.8,0.1,1.0,0.4,0.3,0.07663314941378721,1.0547930471827882,0.920898112214851,4.135358706236246,3.695895580050806
0.3,1.0,0.6,0.7,0.3,0.5,0.3,0.2,0.4,-0.7950722601057697,1.8579195859040303,1.8335049086957287,0.9483600899700768,0.8409648030682315
0.4,0.0,0.3,0.3,0.8,0.3,0.5,0.6,0.7,2.173388057486758,-1.1861192412650623,-1.440574640450147,2.876182185295248,2.933015095454518
0.5,0.1,0.7,0.0,1.0,1.0,0.2,0.8,0.2,-1.4375505135440918,2.36595813757407,2.2259411404605514,2.2739103401169616,2.1458222575781494
0.1,0.4,0.0,0.4,0.1,0.7,0.3,0.1,0.6,-0.4365251625520551,1.269154278689282,1.241887724768979,2.6908528023979192,2.3738486711277056
0.6,0.9,1.0,0.6,0.9,0.6,0.0,0.0,0.2,-1.001551507995238,2.0133024352106927,1.745943187878923,2.868569442400715,2.8243700619325645
0.9,0.6,0.0,0.6,0.7,0.0,0.3,0.9,0.0,-0.34906398499461183,1.3552478207248873,1.0314894873271339,3.7329489177020028,3.6072459751989214
0.3,1.0,0.4,0.7,0.5,0.3,0.8,0.8,0.0,0.6234533668731305,0.3710903999054995,0.4465589845964697,1.251700139942708,1.288013518832352
