data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution,RF_n_estimators
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,0,5,5,10,sklearn,sklearn,sklearn,0.47361083518757774,0.0,1000,0.006021022796630859,,,,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,0,5,5,10,mean,optimal,mse,0.488900321181075,0.03228280448322459,0,1.1957194805145264,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,0,5,5,10,mean,optimal,mse,0.4178080966793002,-0.11782403264945657,0,20.792198181152344,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,0,5,5,10,optimal,optimal,mse,0.4810819113234909,0.015774715400998267,0,77.51987767219543,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,0,5,5,10,optimal,optimal,mse,0.41015398895458033,-0.13398520793525504,0,1022.2520475387573,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,1,5,5,10,sklearn,sklearn,sklearn,0.47277934415757555,0.0,1000,0.0034418106079101562,,,,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,1,5,5,10,mean,optimal,mse,0.4928277557482792,0.04240543043695577,0,2.0643727779388428,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,1,5,5,10,mean,optimal,mse,0.42805792013230326,-0.09459259288275254,0,27.939414024353027,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,1,5,5,10,optimal,optimal,mse,0.4789268239336364,0.013002851863197953,0,107.74949550628662,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,1,5,5,10,optimal,optimal,mse,0.4253683873254782,-0.10028136258062799,0,973.5332534313202,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,2,5,5,10,sklearn,sklearn,sklearn,0.4465471629215907,0.0,1000,0.0077667236328125,,,,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,2,5,5,10,mean,optimal,mse,0.4593435913765232,0.02865638731463497,0,1.388378381729126,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,2,5,5,10,mean,optimal,mse,0.4009329054433918,-0.10214880143849069,0,22.327924013137817,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,2,5,5,10,optimal,optimal,mse,0.46061410959143556,0.03150159230171817,0,86.68270683288574,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,2,5,5,10,optimal,optimal,mse,0.39461270209402016,-0.11630229713650585,0,976.9136350154877,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,3,5,5,10,sklearn,sklearn,sklearn,0.4562613749037542,0.0,1000,0.004016399383544922,,,,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,3,5,5,10,mean,optimal,mse,0.4851233351988628,0.06325751396597377,0,1.1694884300231934,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,3,5,5,10,mean,optimal,mse,0.4140764379426514,-0.09245783071162103,0,19.580776929855347,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,3,5,5,10,optimal,optimal,mse,0.4779844377678371,0.04761100557474385,0,74.2578136920929,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,3,5,5,10,optimal,optimal,mse,0.4101698002336585,-0.10102011085163287,0,1015.9749734401703,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,4,5,5,10,sklearn,sklearn,sklearn,0.4713704187930796,0.0,1000,0.006023883819580078,,,,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,4,5,5,10,mean,optimal,mse,0.48470129097710074,0.02828109625155129,0,1.3831067085266113,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,4,5,5,10,mean,optimal,mse,0.42119754929617176,-0.10644042879350168,0,19.634063482284546,True,True,False,20.0
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,4,5,5,10,optimal,optimal,mse,0.47322273361443445,0.0039296373881449725,0,71.94104790687561,True,True,False,
synthetic_manifold_df_size_5000_targets_5_features_6_seed_0,4,5,5,10,optimal,optimal,mse,0.4140433305344485,-0.1216179165536401,0,1143.735206604004,True,True,False,20.0
